scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.4,0.05,3,2.50061164197530902962
scenario-01,1.3,0.08,2,2.50232554320987654938
scenario-01,1.3,0.11,3,2.50456070370370406666
scenario-01,1.2,0.16,2,2.50580923456790112962
scenario-01,1.4,0.04,3,2.50905493827160531975
scenario-01,1.2,0.18,3,2.51019016049382748024
scenario-01,1.2,0.11,1,2.51022023456790132345
scenario-01,1.7,0.01,3,2.51024020987654342839
scenario-01,1.4,0.03,1,2.51277124691358053827
scenario-01,1.7,0.01,2,2.51407587654321002469
scenario-01,1.1,0.17,1,2.51495845679012345925
scenario-01,1.3,0.06,1,2.51531809876543228888
scenario-01,1.3,0.12,3,2.51650255555555593827
scenario-01,1.6,0.02,2,2.51652065432098774938
scenario-01,1.3,0.09,2,2.51726709876543208765
scenario-01,1.2,0.19,3,2.51916716049382749012
scenario-01,1.4,0.05,2,2.51924574074074081111
scenario-01,1.7,0.01,1,2.52070849382716074814
scenario-01,1.4,0.06,3,2.52131740740740780864
scenario-01,1.4,0.04,2,2.52188140740740754567
scenario-01,1.2,0.12,1,2.52232432098765441234
scenario-01,1.6,0.02,1,2.52311688888888914814
scenario-01,1.3,0.1,2,2.52348838271604935925
scenario-01,1.2,0.17,2,2.52373743209876531111
scenario-01,1.3,0.11,2,2.52380635802469131481
scenario-01,1.6,0.02,3,2.52382408641975336419
scenario-01,1.5,0.03,3,2.52519032098765464074
scenario-01,1.2,0.2,3,2.52811580246913613950
scenario-01,1.1,0.18,1,2.52988587654320986296
scenario-01,1.5,0.03,2,2.53228322222222232716
scenario-01,1.3,0.13,3,2.53432040740740779506
scenario-01,1.3,0.07,1,2.53594425925925943950
scenario-01,1.3,0.14,3,2.53738320987654359753
scenario-01,1.4,0.07,3,2.53909322222222262716
scenario-01,1.5,0.04,3,2.54033112345679049012
scenario-01,1.2,0.18,2,2.54157239506172823703
scenario-01,1.3,0.12,2,2.54168413580246906913
scenario-01,1.8,0.01,2,2.54287211111111123209
scenario-01,1.4,0.06,2,2.54302728395061734197
scenario-01,1.2,0.13,1,2.54327249382716056049
scenario-01,1.3,0.15,3,2.54348677777777815555
scenario-01,1.1,0.19,1,2.54506260493827158024
scenario-01,1.3,0.08,1,2.54510308641975324074
scenario-01,1.4,0.08,3,2.54795400000000038888
scenario-01,1.7,0.02,2,2.55051791358024693086
scenario-01,1.2,0.19,2,2.55054413580246896172
scenario-01,1.4,0.09,3,2.55102879012345718271
scenario-01,1.7,0.02,3,2.55182712345679033456
scenario-01,1.3,0.13,2,2.55373603703703696913
scenario-01,1.8,0.01,3,2.55431546913580271728
scenario-01,1.6,0.03,2,2.55520704938271609506
scenario-01,1.5,0.03,1,2.55580571604938296790
scenario-01,1.3,0.09,1,2.55700993827160507530
scenario-01,1.8,0.01,1,2.55793161728395087777
scenario-01,1.2,0.14,1,2.55826355555555560000
scenario-01,1.5,0.05,3,2.55834206172839543950
scenario-01,1.3,0.16,3,2.55837127160493864691
scenario-01,1.5,0.04,2,2.55919500000000006666
scenario-01,1.6,0.03,3,2.55932569135802497654
scenario-01,1.4,0.1,3,2.56013274074074111234
scenario-01,1.4,0.07,2,2.56388802469135807407
scenario-01,1.3,0.14,2,2.56559927160493817654
scenario-01,1.2,0.2,2,2.56568755555555536419
scenario-01,1.1,0.2,1,2.56592112345679011358
scenario-01,1.4,0.04,1,2.56655270370370397407
scenario-01,1.4,0.05,1,2.57026924691358049135
scenario-01,1.4,0.11,3,2.57201360493827198024
scenario-01,1.3,0.1,1,2.57221717283950630617
scenario-01,1.4,0.08,2,2.57290596296296295432
scenario-01,1.3,0.17,3,2.57322955555555593209
scenario-01,1.3,0.15,2,2.57476908641975297530
scenario-01,1.5,0.06,3,2.57607702469135840000
scenario-01,1.2,0.15,1,2.57621876543209879629
scenario-01,1.3,0.18,3,2.57632223456790160740
scenario-01,1.4,0.12,3,2.57818208641975345308
scenario-01,1.4,0.09,2,2.58197113580246910987
scenario-01,1.8,0.02,2,2.58274996296296289629
scenario-01,1.5,0.05,2,2.58290102469135804814
scenario-01,1.7,0.02,1,2.58375360493827180493
scenario-01,1.3,0.16,2,2.58376619753086407037
scenario-01,1.6,0.03,1,2.58508560493827181604
scenario-01,1.2,0.16,1,2.58527624691358026666
