scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.5,0.03,1,2.81872180246913635555
scenario-01,1.7,0.01,3,2.82019624691358086419
scenario-01,1.2,0.18,2,2.82175882716049399259
scenario-01,1.3,0.12,2,2.82378838271604965925
scenario-01,1.3,0.14,3,2.82399891358024757407
scenario-01,1.5,0.04,3,2.82501881481481544197
scenario-01,1.7,0.01,1,2.82822500000000060246
scenario-01,1.1,0.18,1,2.82942472839506218024
scenario-01,1.4,0.08,3,2.82943491358024759012
scenario-01,1.3,0.08,1,2.83273316049382770123
scenario-01,1.2,0.13,1,2.83377588888888938518
scenario-01,1.2,0.19,2,2.83668445679012359876
scenario-01,1.4,0.07,2,2.83754250617283975679
scenario-01,1.1,0.19,1,2.84146504938271650123
scenario-01,1.3,0.13,2,2.84158023456790148395
scenario-01,1.3,0.15,3,2.84179629629629696172
scenario-01,1.3,0.09,1,2.84476461728395113827
scenario-01,1.5,0.05,3,2.84554334567901298148
scenario-01,1.6,0.02,1,2.84572603703703757530
scenario-01,1.4,0.05,1,2.84663800000000055061
scenario-01,1.4,0.09,3,2.84712298765432165679
scenario-01,1.6,0.03,2,2.84749030864197563333
scenario-01,1.2,0.14,1,2.84867722222222270617
scenario-01,1.5,0.05,2,2.85075130864197554074
scenario-01,1.4,0.08,2,2.85249985185185209135
scenario-01,1.6,0.03,3,2.85251504938271665925
scenario-01,1.3,0.16,3,2.85370433333333399876
scenario-01,1.3,0.14,2,2.85636470370370394197
scenario-01,1.2,0.2,2,2.86041166666666677654
scenario-01,1.4,0.1,3,2.86219216049382783333
scenario-01,1.8,0.01,2,2.86339271604938316419
scenario-01,1.7,0.02,2,2.86339650617283987654
scenario-01,1.2,0.15,1,2.86376962962963007777
scenario-01,1.1,0.2,1,2.86828753086419796913
scenario-01,1.3,0.1,1,2.86854491358024743086
scenario-01,1.5,0.04,1,2.86938709876543263950
scenario-01,1.3,0.17,3,2.87140772839506239012
scenario-01,1.5,0.06,3,2.87219129629629694197
scenario-01,1.4,0.06,1,2.87340962962963016049
scenario-01,1.4,0.09,2,2.87350832098765454567
scenario-01,1.3,0.15,2,2.87419946913580268271
scenario-01,1.4,0.11,3,2.87701334567901302962
scenario-01,1.6,0.03,1,2.87861579012345733703
scenario-01,1.7,0.02,3,2.87961865432098823456
scenario-01,1.4,0.1,2,2.88244353086419774444
scenario-01,1.2,0.16,1,2.88486112345679057530
scenario-01,1.8,0.01,3,2.88616379012345738518
scenario-01,1.5,0.06,2,2.88622381481481500617
scenario-01,1.3,0.18,3,2.88628892592592658395
scenario-01,1.3,0.11,1,2.88644360493827212222
scenario-01,1.5,0.07,3,2.88721193827160559259
scenario-01,1.8,0.01,1,2.88731219753086476666
scenario-01,1.7,0.02,1,2.89100559259259312962
scenario-01,1.4,0.12,3,2.89190855555555624320
scenario-01,1.3,0.16,2,2.89207525925925944814
scenario-01,1.6,0.04,2,2.89217555555555582716
scenario-01,1.2,0.17,1,2.89674906172839550617
scenario-01,1.5,0.05,1,2.89901137037037089259
scenario-01,1.6,0.04,3,2.89984207407407468148
scenario-01,1.4,0.07,1,2.90018288888888941481
scenario-01,1.3,0.12,1,2.90134769135802520123
scenario-01,1.4,0.11,2,2.90320904938271624197
scenario-01,1.3,0.19,3,2.90412108641975375555
scenario-01,1.5,0.07,2,2.90430261728395081604
scenario-01,1.5,0.08,3,2.90506858024691424814
scenario-01,1.4,0.13,3,2.90664756790123525185
scenario-01,1.3,0.17,2,2.90992417283950633456
scenario-01,1.4,0.08,1,2.91515066666666718641
scenario-01,1.4,0.12,2,2.91516566666666684320
scenario-01,1.4,0.14,3,2.91565955555555624320
scenario-01,1.3,0.13,1,2.91632443209876593950
scenario-01,1.8,0.02,2,2.91669754320987691111
scenario-01,1.2,0.18,1,2.91750876543209920246
scenario-01,1.3,0.18,2,2.91894813580246927037
scenario-01,1.3,0.2,3,2.92177277777777842962
scenario-01,1.5,0.08,2,2.92198809876543227407
scenario-01,1.5,0.09,3,2.92272538271605004938
scenario-01,1.6,0.05,3,2.92343640740740801728
scenario-01,1.4,0.15,3,2.92459612345679080987
scenario-01,1.9,0.01,2,2.92500125925925971358
scenario-01,1.7,0.03,2,2.92556498765432130246
scenario-01,1.6,0.04,1,2.92634991358024740246
scenario-01,1.4,0.09,1,2.92724574074074124814
scenario-01,1.3,0.14,1,2.92823118518518567777
scenario-01,1.2,0.19,1,2.92961277777777821481
scenario-01,1.4,0.13,2,2.93000241975308658271
scenario-01,1.6,0.05,2,2.93052738271604959382
scenario-01,1.3,0.19,2,2.93086186419753097407
scenario-01,1.5,0.06,1,2.93120386419753135555
scenario-01,1.9,0.01,1,2.93193267901234624320
scenario-01,1.7,0.03,3,2.93278019753086477777
scenario-01,1.5,0.09,2,2.93391001234567917283
scenario-01,1.6,0.06,3,2.93540881481481544320
scenario-01,1.9,0.01,3,2.93611387654321046172
scenario-01,1.5,0.1,3,2.93758581481481548641
scenario-01,1.8,0.02,3,2.93942771604938329382
scenario-01,1.8,0.02,1,2.94098767901234620493
scenario-01,1.4,0.14,2,2.94196087654321001604
scenario-01,1.4,0.16,3,2.94235995061728462345
scenario-01,1.6,0.06,2,2.94257948148148166296
scenario-01,1.3,0.2,2,2.94282780246913588765
scenario-01,1.7,0.04,2,2.94372558024691382839
scenario-01,1.4,0.1,1,2.94518925925925974938
scenario-01,1.3,0.15,1,2.94607161728395107777
scenario-01,1.5,0.11,3,2.94653892592592659382
scenario-01,1.2,0.2,1,2.94747651851851894197
scenario-01,2.0,0.01,1,2.94876604938271660864
scenario-01,1.4,0.17,3,2.95128723456790189753
scenario-01,1.5,0.1,2,2.95175707407407422222
scenario-01,1.5,0.07,1,2.95225323456790170370
scenario-01,1.4,0.15,2,2.95387456790123468395
scenario-01,1.4,0.11,1,2.95420901234567949629
scenario-01,1.7,0.03,1,2.95614667901234617160
