scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.2,0.12,2,2.11290524691358081481
scenario-01,1.4,0.02,1,2.11378234567901302098
scenario-01,1.2,0.1,1,2.11493339506172909135
scenario-01,1.3,0.06,3,2.11915792592592650493
scenario-01,1.3,0.05,1,2.12467013580246976543
scenario-01,1.0,0.2,1,2.12603319753086487777
scenario-01,1.2,0.13,3,2.12625746913580302962
scenario-01,1.1,0.19,2,2.12643509876543267037
scenario-01,1.3,0.06,2,2.12759629629629687283
scenario-01,1.5,0.02,3,2.13032516049382784814
scenario-01,1.5,0.02,2,2.13036046913580315679
scenario-01,1.1,0.2,3,2.13290245679012400123
scenario-01,1.1,0.16,1,2.13380587654321058271
scenario-01,1.2,0.13,2,2.13630983950617340617
scenario-01,1.5,0.02,1,2.13924772839506243827
scenario-01,1.2,0.11,1,2.14439361728395134814
scenario-01,1.3,0.06,1,2.14531955555555620246
scenario-01,1.3,0.07,3,2.14552217283950675308
scenario-01,1.2,0.14,3,2.14973022222222277160
scenario-01,1.1,0.2,2,2.15569083950617342716
scenario-01,1.3,0.07,2,2.15692019753086477530
scenario-01,1.2,0.12,1,2.16490671604938343580
scenario-01,1.1,0.17,1,2.16615759259259327901
scenario-01,1.4,0.03,2,2.16784217283950680370
scenario-01,1.4,0.03,3,2.16844770370370434197
scenario-01,1.2,0.14,2,2.17162120987654380000
scenario-01,1.4,0.03,1,2.17256646913580313086
scenario-01,1.7,0.01,1,2.17581586419753158395
scenario-01,1.7,0.01,2,2.17581586419753158395
scenario-01,1.7,0.01,3,2.17581586419753158395
scenario-01,1.3,0.08,2,2.17750145679012402962
scenario-01,1.3,0.07,1,2.17760311111111176666
scenario-01,1.3,0.08,3,2.17794204938271663827
scenario-01,1.2,0.15,3,2.18806940740740797654
scenario-01,1.2,0.13,1,2.19127096296296366419
scenario-01,1.1,0.18,1,2.19561781481481548271
scenario-01,1.2,0.15,2,2.20108143209876602098
scenario-01,1.3,0.09,3,2.20437445679012404938
scenario-01,1.4,0.04,3,2.20961022222222284814
scenario-01,1.3,0.09,2,2.20985317283950677037
scenario-01,1.3,0.08,1,2.21002298765432166296
scenario-01,1.4,0.04,2,2.21196434567901297283
scenario-01,1.4,0.04,1,2.21372898765432163703
scenario-01,1.2,0.16,3,2.21436549382716107530
scenario-01,1.6,0.02,1,2.21932459259259326419
scenario-01,1.6,0.02,2,2.21932459259259326419
scenario-01,1.6,0.02,3,2.21932459259259326419
scenario-01,1.2,0.16,2,2.22145820987654379876
scenario-01,1.3,0.1,3,2.22206422222222282962
scenario-01,1.2,0.14,1,2.22362267901234636296
scenario-01,1.1,0.19,1,2.22494171604938336543
scenario-01,1.5,0.03,3,2.22731214814814883086
scenario-01,1.5,0.03,2,2.22734745679012413950
scenario-01,1.5,0.03,1,2.22735575308642044074
scenario-01,1.3,0.1,2,2.22754293827160555308
scenario-01,1.3,0.09,1,2.23053608641975375925
scenario-01,1.2,0.17,3,2.23790640740740797901
scenario-01,1.4,0.05,2,2.24404341975308702839
scenario-01,1.4,0.05,3,2.24464895061728456419
scenario-01,1.2,0.15,1,2.24716359259259326543
scenario-01,1.3,0.11,3,2.25131996296296356419
scenario-01,1.3,0.11,2,2.25383902469135862345
scenario-01,1.3,0.1,1,2.25414516049382783333
scenario-01,1.4,0.05,1,2.25764667901234632716
scenario-01,1.2,0.17,2,2.25979739506172900617
scenario-01,1.1,0.2,1,2.26011676543209939629
scenario-01,1.2,0.18,3,2.27604111111111170740
scenario-01,1.3,0.12,3,2.28071202469135861975
scenario-01,1.4,0.06,2,2.28224628395061788888
scenario-01,1.4,0.06,3,2.28285181481481542469
scenario-01,1.8,0.01,1,2.28416434567901302592
