,rmse,bo_xi,function,input_size
105,0.12329625249066885,3.0,extract-success-stats,2070369
91,0.041107199782664944,0.5,extract-success-stats,21511278
94,0.041107199782664944,1.0,extract-success-stats,21511278
97,0.04189763682648886,1.5,extract-success-stats,21511278
103,0.04223735381758992,2.5,extract-success-stats,21511278
106,0.04272775006323265,3.0,extract-success-stats,21511278
82,0.04338473145024096,0.01,extract-success-stats,21511278
85,0.04338473145024096,0.05,extract-success-stats,21511278
88,0.04338473145024096,0.1,extract-success-stats,21511278
100,0.04462888104231255,2.0,extract-success-stats,21511278
107,0.02712285925170978,3.0,extract-success-stats,21569326
101,0.027129293330616967,2.0,extract-success-stats,21569326
104,0.027818552299476045,2.5,extract-success-stats,21569326
95,0.028270781203607275,1.0,extract-success-stats,21569326
98,0.028887078547340423,1.5,extract-success-stats,21569326
83,0.03170647214885362,0.01,extract-success-stats,21569326
86,0.03170647214885362,0.05,extract-success-stats,21569326
89,0.03170647214885362,0.1,extract-success-stats,21569326
92,0.03201460837019941,0.5,extract-success-stats,21569326
57,0.0530020552756327,0.05,extract-successes,2467840
54,0.05303439529650482,0.01,extract-successes,2467840
63,0.07009067013517159,0.5,extract-successes,2467840
69,0.07097069705936304,1.5,extract-successes,2467840
60,0.08613630250399286,0.1,extract-successes,2467840
72,0.08614028356851577,2.0,extract-successes,2467840
75,0.08614028356851577,2.5,extract-successes,2467840
66,0.08624770284939613,1.0,extract-successes,2467840
78,0.08634704599418139,3.0,extract-successes,2467840
79,0.07441270191940277,3.0,extract-successes,56909824
76,0.07445202951852904,2.5,extract-successes,56909824
64,0.07448810258608857,0.5,extract-successes,56909824
73,0.07458659924724328,2.0,extract-successes,56909824
70,0.07504676229617437,1.5,extract-successes,56909824
67,0.07552814854406766,1.0,extract-successes,56909824
55,0.07590600301340301,0.01,extract-successes,56909824
58,0.07604956851292571,0.05,extract-successes,56909824
61,0.07667296177673988,0.1,extract-successes,56909824
71,0.0627715167366214,1.5,extract-successes,100449280
68,0.06296011594697028,1.0,extract-successes,100449280
80,0.06334257838732908,3.0,extract-successes,100449280
74,0.06637427882752239,2.0,extract-successes,100449280
62,0.06778173872459944,0.1,extract-successes,100449280
77,0.06782131404357751,2.5,extract-successes,100449280
65,0.06785653784182087,0.5,extract-successes,100449280
56,0.06786050669984642,0.01,extract-successes,100449280
59,0.06786050669984642,0.05,extract-successes,100449280
435,0.029899711206761083,0.1,mark-faces,345600
471,0.030198088625723953,3.0,mark-faces,345600
441,0.03158667904587777,0.5,mark-faces,345600
423,0.033428264863796624,0.01,mark-faces,345600
459,0.04199427060450644,2.0,mark-faces,345600
447,0.044096206685558824,1.0,mark-faces,345600
465,0.06004676389237144,2.5,mark-faces,345600
453,0.06413479270421012,1.5,mark-faces,345600
429,0.09268644480205952,0.05,mark-faces,345600
424,0.033455516503592256,0.01,mark-faces,518400
436,0.03692922315221143,0.1,mark-faces,518400
430,0.04093370927683124,0.05,mark-faces,518400
472,0.04693933747077399,3.0,mark-faces,518400
454,0.05023862713922476,1.5,mark-faces,518400
466,0.05138580839322168,2.5,mark-faces,518400
442,0.057113618861482925,0.5,mark-faces,518400
460,0.06598563559374866,2.0,mark-faces,518400
448,0.09768150624867596,1.0,mark-faces,518400
437,0.028425325570209603,0.1,mark-faces,864000
461,0.030127483200304783,2.0,mark-faces,864000
425,0.03254711645676174,0.01,mark-faces,864000
443,0.036819191942343066,0.5,mark-faces,864000
449,0.04527705685066999,1.0,mark-faces,864000
455,0.04970408887945722,1.5,mark-faces,864000
467,0.0528140087426619,2.5,mark-faces,864000
431,0.07093403031862365,0.05,mark-faces,864000
473,0.07319268214382965,3.0,mark-faces,864000
450,0.033453358639968296,1.0,mark-faces,1080000
468,0.033837577700413526,2.5,mark-faces,1080000
474,0.03413498848735501,3.0,mark-faces,1080000
444,0.037698201883448544,0.5,mark-faces,1080000
456,0.04187362898054078,1.5,mark-faces,1080000
438,0.044230956178378626,0.1,mark-faces,1080000
432,0.05138926994869591,0.05,mark-faces,1080000
462,0.06977603236916309,2.0,mark-faces,1080000
426,0.07996009194934811,0.01,mark-faces,1080000
451,0.03725237661317097,1.0,mark-faces,1296000
469,0.03771534284899506,2.5,mark-faces,1296000
475,0.0381422270244524,3.0,mark-faces,1296000
